104
3
Ben Armstrong 100.0 27 100 57.5
Ben Yonas 98.0 7 89 56.8
Ben Gonzales 98.00 0 56 57
6
Ben Armstrong 100.1 27 100 57.5
Ben Yonas 98.0 7 89 56.8
Ben Gonzales 78 0 56 57
Ben Davis 78 8 9 35
Ben Stiller 78 44 55 14
Ben Franklin 100 44 45 5000000
12
Ben Armstrong 100.1 32 414 24
Ben Yonas 20 25 25 25  
Ben Gonzales 10 10 10 10 
Ben Davis 21.3 12 14 18.6
Ben Jackson 18 7 12 32.5
Ben Mitchell 100.3 32 414 21
Ben MeHere 100.2 3 32 414 21
Ben Alexander 5 2 47 41
Ben Bui 34.3 2521.3 2543.4 58
Ben Binzley 2 2 2 2 
Ben Norman 1 1 1 1 
Ben Bakhit 0 0 0 0
10
Ben Rasppberry 78 16 24 15
Ben Squid 35.2 11.1 93.3 12.7 
Ben Aayyysh 55.5 13.2 72.5 74.3
Ben Ranik 64.9 26 95.7 59.4 
Ben Jenga 89.4 77 55.8 0.3
Ben Boi 84 31.2 62.8 39.3
Ben Stefean 99.2 71 70.3 80.5 
Ben Malek 74.1 10.5 33.2 54.4
Ben Charlie 70 23.5 11.2 98
Ben Shrittey 44.5 9.7 56.5 82.9
4
Ben Raspberry 8.7 87.5 98.6 84.9
Ben ChrisJohn 40.0 38.3 41.5 55.1
Ben Boi 57.6 65.7 77.6 30.1
Ben Gupta 39.3 20.4 83.3 94.7
8
Ben JohnChris 72.8 48.2 56.9 88.7
Ben HelloWorld 67.9 75.2 78.3 24.5
Ben Malek 11.5 79.2 98.6 60.1
Ben Weaspoppy 13.6 58.5 90.2 96.8
Ben Yonas 28.9 69.6 84.8 36.0
Ben Gupta 79.8 78.4 91.8 51.2
Ben Charles 14.5 44.2 86.3 83.5
Ben Armstrong 73.0 9.5 29.1 11.5
16
Ben Squid 68.5 43.6 63.7 44.9
Ben Stefan 51.9 33.6 33.7 96.1
Ben Weaspoppy 89.4 66.5 80.2 61.5
Ben Boi 53.8 12.6 53.8 18.2
Ben Charles 13.3 78.3 86.5 19.6
Ben Yonas 38.5 51.6 82.6 4.9
Ben Raspberry 34.4 94.5 99.2 30.6
Ben Chakarayara 14.8 64.1 82.5 69.8
Ben Armstrong 58.6 88.7 99.3 38.2
Ben HelloWorld 38.2 81.2 99.5 67.6
Ben Binzly 15.1 76.3 82.5 67.0
Ben Gupta 28.9 73.8 89.1 80.6
Ben Amel 68.1 81.2 95.0 54.8
Ben Mitch 99.6 78.8 79.7 15.7
Ben Dan 21.1 25.6 54.2 67.5
Ben ChrisJohn 30.4 23.6 87.9 34.6
13
Ben Armstrong 48.2 32.3 89.7 15.2
Ben Squid 14.9 38.4 58.1 86.6
Ben Charles 56.7 33.1 68.5 16.7
Ben Amel 69.4 12.2 70.3 16.4
Ben Boi 49.4 34.0 59.7 99.6
Ben Gupta 87.2 44.5 78.6 27.6
Ben Mitch 96.9 2.7 85.9 70.3
Ben HelloWorld 59.3 76.9 92.1 6.9
Ben JohnChris 37.6 89.8 99.5 78.7
Ben Binzly 27.2 25.4 29.3 95.5
Ben Dan 25.3 48.4 88.1 56.7
Ben Norman 97.7 82.5 87.7 12.0
Ben Chakarayara 89.5 50.1 78.2 58.6
6
Ben Binzly 35.9 59.1 92.4 2.5
Ben Weaspoppy 99.7 54.5 72.3 87.6
Ben JohnChris 5.0 23.4 71.0 63.5
Ben Charles 28.6 32.2 71.5 45.7
Ben Norman 14.9 38.6 83.7 96.8
Ben Raspberry 98.3 31.8 77.4 96.4
8
Ben Binzly 42.8 52.6 81.9 86.3
Ben Chakarayara 64.7 26.9 61.7 66.2
Ben ChrisJohn 31.0 12.5 41.9 93.3
Ben Gupta 38.4 60.1 95.2 86.1
Ben Mitch 68.1 92.1 93.1 38.7
Ben Weaspoppy 20.4 69.3 72.1 76.1
Ben Amel 65.4 52.1 67.5 22.9
Ben Dan 67.5 83.2 88.8 88.5
17
Ben Squid 74.7 24.5 91.4 40.4
Ben Chakarayara 9.4 15.4 90.0 54.1
Ben Norman 74.2 13.3 89.0 95.8
Ben Malek 20.1 51.6 78.8 35.7
Ben Mitch 67.0 11.1 47.1 91.5
Ben ChrisJohn 99.5 30.3 71.6 1.5
Ben Stefan 34.4 4.3 17.7 38.6
Ben Amel 71.0 55.7 82.9 39.9
Ben HelloWorld 21.9 54.5 57.4 7.9
Ben Armstrong 84.7 41.7 60.2 4.8
Ben Gupta 42.2 17.6 80.6 45.3
Ben Charles 42.0 64.9 85.2 40.3
Ben Weaspoppy 49.4 26.7 37.8 43.1
Ben Raspberry 49.1 82.7 90.1 30.0
Ben Yonas 63.1 4.5 79.3 16.2
Ben hello 14.8 55.4 77.3 80.6
Ben Boi 14.4 43.3 99.5 34.4
12
Ben hello 17.9 37.9 43.5 79.4
Ben Dan 15.7 53.6 76.0 35.4
Ben Amel 36.9 81.6 86.2 10.7
Ben ChrisJohn 85.9 37.0 69.0 10.0
Ben Chakarayara 42.7 38.3 73.4 40.3
Ben Mitch 13.0 10.3 59.7 74.8
Ben HelloWorld 70.2 42.1 74.7 0.8
Ben JohnChris 7.4 11.8 49.0 49.9
Ben Armstrong 52.0 71.6 93.7 74.9
Ben Squid 17.2 69.4 93.4 85.5
Ben Weaspoppy 64.9 23.5 24.5 13.8
Ben Binzly 72.0 48.7 87.8 81.6
15
Ben Boi 30.6 71.6 95.7 90.8
Ben Armstrong 87.7 60.8 61.2 69.5
Ben Chakarayara 56.0 75.3 86.2 59.3
Ben Amel 7.3 15.8 38.5 74.2
Ben Charles 31.9 85.9 89.4 15.2
Ben JohnChris 48.5 14.3 60.9 41.8
Ben ChrisJohn 28.1 80.7 91.4 95.2
Ben Raspberry 6.5 46.2 75.7 76.8
Ben HelloWorld 86.9 21.1 29.1 16.4
Ben Mitch 72.6 63.8 97.4 73.6
Ben Stefan 59.3 76.6 84.7 15.8
Ben Weaspoppy 98.2 86.0 97.4 58.5
Ben Gupta 74.5 34.0 77.9 26.3
Ben Norman 62.6 53.1 88.2 23.5
Ben Binzly 72.1 6.8 27.1 76.1
5
Ben ChrisJohn 93.3 18.6 89.5 76.7
Ben Raspberry 57.0 85.6 99.2 66.2
Ben Mitch 74.5 53.4 96.2 56.9
Ben Malek 68.3 13.7 67.5 59.7
Ben Gupta 24.7 47.2 93.9 19.0
8
Ben Chakarayara 34.2 90.1 96.9 99.2
Ben Yonas 36.9 78.4 87.5 47.3
Ben Charles 51.3 46.5 86.3 59.5
Ben Amel 6.2 48.8 50.5 34.8
Ben ChrisJohn 2.2 54.8 57.2 41.2
Ben Mitch 11.9 65.9 93.8 3.6
Ben Malek 34.6 0.9 50.6 27.5
Ben Gupta 42.9 23.5 32.3 23.2
17
Ben Gupta 68.8 51.3 54.2 1.3
Ben ChrisJohn 62.0 90.0 94.4 48.7
Ben Chakarayara 57.6 67.1 84.7 79.7
Ben Raspberry 80.7 79.5 95.4 19.9
Ben Charles 24.9 93.5 94.4 21.2
Ben HelloWorld 9.6 12.9 86.4 27.7
Ben Dan 83.3 13.9 35.8 17.8
Ben Binzly 33.1 40.1 98.1 34.9
Ben Boi 51.2 90.6 99.4 20.1
Ben Mitch 94.7 68.3 93.0 0.2
Ben Stefan 56.4 89.4 98.2 63.4
Ben JohnChris 64.5 90.0 95.5 24.9
Ben Yonas 32.2 73.2 93.4 61.8
Ben hello 56.2 82.7 99.6 56.7
Ben Squid 85.1 71.9 88.6 17.4
Ben Amel 60.3 27.8 63.8 64.6
Ben Norman 92.0 11.1 90.4 45.2
18
Ben Norman 41.8 73.3 96.0 24.6
Ben Amel 60.0 42.3 68.7 91.0
